osm_id,lat,lon,category,subtype,name
node/11449537506,24.2225088,91.5067219,Industrial,works,ইকরা ব্রিক ফিল্ড
node/11449683394,24.1718533,91.4727515,Industrial,works,লস্করপুর চা ফ্যাক্টরি
node/11449889729,7.1915294,80.55164,Industrial,works,watadeniya tea factory
node/11463434860,13.6309464,79.4697421,Industrial,works,Padmavathi Flour Mill
node/11465305725,16.932638,81.925673,Industrial,works,
node/11475731838,22.3850154,91.8090059,Industrial,works,"Shaheen Metal Industries, Bayezid Link Rd, Chattogram"
node/11475805609,22.386306,91.8067799,Industrial,works,"ZR TRIMS & ACCESSORIES, Plot A/2 BAYEZID INDUSTRIAL ESTATE, Chattogram"
node/11478631354,10.088918,78.8548481,Industrial,works,Annamalai Pavers Block
node/11479008961,16.7097272,80.3452544,Industrial,works,Inventaa Industries Private Limited
node/11483601087,16.9347979,81.9300351,Industrial,works,
node/11485643134,17.6309353,77.9065263,Industrial,works,
node/11485643135,17.6327757,77.9126632,Industrial,works,
node/11485643151,17.8427607,78.070828,Industrial,works,Indian Steels Company
node/11485653809,17.144801,78.9024009,Industrial,slaughterhouse,Poultry Farm
node/11485698718,17.7344699,78.4728076,Industrial,works,manufacture products
node/11485698719,17.7527226,78.4719512,Industrial,works,manufacturing mechinery
node/11485698721,17.7720953,78.4715718,Industrial,works,
node/11489738638,17.445724,78.605719,Industrial,works,Foctorys
node/11489738639,17.453844,78.6089301,Industrial,works,Industies area
node/11489738640,17.4538778,78.5953528,Industrial,works,Steel foctory
node/11489738654,17.4560899,78.5967765,Industrial,works,Factory
node/11489955283,17.4646491,78.6029013,Industrial,works,Steel foctory
node/11489955294,17.4732241,78.6042197,Industrial,works,Industiral area
node/11489955466,17.5302857,78.5246663,Industrial,works,
node/11489987505,17.5505521,78.324184,Industrial,works,manufacturing unit
